isim,sayi
RESMİYE,26854
VASFİYE,26804
GÜNAY,26737
HAMİYET,26558
PENBE,26394
FATMANA,26213
NURHAYAT,26116
SÜREYYA,26107
MESUDE,26105
MENEKŞE,25998
ALTUN,25883
HÜSNA,25818
NEVRİYE,25413
DURKADIN,25291
EMRİYE,25232
SARİYE,25150
SEYRAN,24924
HANDAN,24759
NADİYE,24392
ESİN,24253
HİDAYET,24147
ÜNZİLE,24088
SÜNDÜS,24044
BEYAZ,23941
NAZİK,23834
GÜLÜMSER,23734
ÖZGÜL,23700
KADER,23699
GÜLLÜZAR,23292
GÜLÜSTAN,23017
EMİR,22989
KİBAR,22572
ATİKE,22453
EDİBE,22426
İKBAL,22387
NEBİYE,21983
GAZAL,21943
NEDİME,21800
MUKADDER,21781
TENZİLE,21780
SERVET,21683
MUALLA,21672
ZÜHRE,21576
EMİŞ,21556
GÜLESER,21437
MÜYESSER,21242
ŞULE,21148
ZİNNET,21148
MÜMİNE,21036
MENŞURE,20763
OYA,20700
BELGİN,20689
AYŞEN,20668
AYHAN,20583
AYLİN,20575
MEMNUNE,20539
YADİGAR,20497
NEZİHE,20434
ÜMRAN,20341
FERİHA,20293
NALAN,20206
SEVCAN,20158
NAGİHAN,20084
MUZAFFER,20035
NADİDE,20024
SADET,19846
SAİDE,19792
BERRİN,19722
NERGİZ,19690
GÜLDEN,19606
MÜJGAN,19511
GÜNEŞ,19409
PERİŞAN,19402
AYSER,19364
ESMER,19311
AYGÜL,19124
GÜLSÜN,19028
TÜLİN,18834
GANİME,18652
LALE,18536
MURADİYE,18410
SALİHE,18297
SATİYE,18274
ŞEHRİYE,18264
FATIMA,18222
PENPE,18200
ZUHAL,18141
GÜLEY,18097
NAZİLE,18088
REFİYE,18069
BERNA,17771
SARE,17748
PERVİN,17732
ÜNZÜLE,17724
BANU,17650
KADIN,17494
FERDANE,17412
ADLE,17346
MERCAN,17212
SEBİLE,17161
FAZİLET,17127
ZÜHAL,17086
TELLİ,17038
PAMUK,16900
GÜLFİDAN,16767
DİDEM,16748
İSMİHAN,16711
ŞENNUR,16668
RAİFE,16581
ŞÖHRET,16570
FADİLE,16550
CEYLAN,16473
ASYA,16440
SAFİNAZ,16368
HAKİME,16315
SOLMAZ,16295
HASİNE,16268
ŞENEL,16241
DÜRİYE,16008
ZERRİN,15981
KAMER,15961
ÜLKER,15943
MİHRİBAN,15824
GURBET,15780
ZENNURE,15774
SACİDE,15695
ŞAKİRE,15663
AİŞE,15587
SATİ,15517
MECBURE,15494
MUHSİNE,15475
NARİN,15465
BÜŞRA,15459
ALEV,15410
AKİLE,15381
NURSEN,15379
PEMBE,15293
SENİHA,15225
BESRA,15114
GİZEM,15089
ŞAHİDE,15067
PELİN,15012
GÖZDE,14977
MÜRÜVET,14906
BİRCAN,14884
ŞEMSE,14757
FADİK,14728
ZİNET,14680
MENEVŞE,14664
SEDEF,14597
HADİYE,14579
SATU,14503
SARA,14425
NAFİA,14363
FATIM,14185
BİLGE,14135
BESİ,14024
SEVGÜL,14007
TUĞÇE,13998
ŞEVKİYE,13921
DİLŞAH,13881
GÜRCÜ,13834
HİLMİYE,13831
GÜLLER,13831
NAZİKE,13722
NESİME,13712
ELVAN,13679
ASLIHAN,13560
HESNA,13504
İLKAY,13466
ULVİYE,13365
ŞEYMA,13209
ÜMMÜGÜL,13189
