isim,sayi
ABDÜLKADİR,21079
MİTHAT,20857
NEBİ,20800
MÜRSEL,20608
ABDİ,20506
BEKTAŞ,20501
TALAT,20422
İSKENDER,20145
LÜTFÜ,19977
AKIN,19827
BEDRİ,19674
SEYDİ,19651
FERDİ,19615
İSHAK,19530
MİKAİL,19135
HAYRULLAH,19107
VEHBİ,19048
SEYFİ,18681
SADULLAH,18676
RÜŞTÜ,18519
ŞEHMUS,18474
SABİT,18113
SAFFET,17971
HALUK,17921
EYYUP,17725
CANER,17719
HABİP,17717
